,landmarks,X,Y
1,Singapore Botanic Gardens,26048.49666,32839.08762
2,Tanglin Park,26093.03153,31330.11759
3,Redhill MRT Station,26161.94824,30239.88398
4,Google Singapore,24292.081,28718.41511
5,Haw Par Villa,22282.2657,29682.50031
6,National University Hospital,22399.05033,30755.03617
7,West Coast Plaza,20499.45024,31859.96924
8,West Coast Park,20610.28102,30611.51507
9,The Clementi Mall,20309.02701,33076.58064
10,Commonwealth MRT Station,24103.23073,31663.87599
11,Alexandra Hospital,24428.57842,29938.05453
12,Dover MRT Station,21906.18126,32710.29487
13,One Holland Village,23619.67144,32692.56495
14,Tan Kah Kee MRT Station,25168.48624,34258.9761
15,ACS(Independent),22123.06134,31715.41823
16,Queenstown MRT Station,24941.56334,30874.93915
17,Henderson Waves,25988.43269,28884.21938
18,Faber Heights Park,19322.00205,34032.76497
19,Farrer Road MRT Station,25158.45242,33313.81268
20,Masjid AI-Huda,23717.6922,34003.60968
21,Henry Park Primary School,22526.06293,33277.98288
22,Pinetree Hill,21595.48214,33558.04784
23,NUS Central Library,21304.36981,31047.23844
24,The Star Vista,22926.26155,32335.72326
25,Mediacorp,23437.37527,31038.05517
26,Dempsey Hill,25373.01112,31895.13435
27,Kent Ridge Park,23328.42924,29671.24707
28,North London Collegiate School(SG),25322.84009,29449.31975
